Group Number,Client p ,Client q
1,1297169,1297523
2,1297171,1297537
3,1297193,1297561
4,1297201,1297573
5,1297211,1297601
6,1297217,1297607
7,1297229,1297619
8,1297243,1297631
9,1297249,1297633
10,1297271,1297649
11,1297273,1297651
12,1297279,1297657
13,1297297,1297669
14,1297313,1297687
15,1297333,1297693
16,1297337,1297727
17,1297349,1297739
18,1297357,1297771
19,1297367,1297781
20,1297369,1297799
21,1297393,1297841
22,1297397,1297847
23,1297399,1297853
24,1297403,1297873
25,1297411,1297927
26,1297421,1297963
27,1297447,1297973
28,1297451,1297979
29,1297459,1297993
30,1297477,1298027
31,1297487,1298039
32,1297501,1298047
33,1297507,1298053
34,1297519,1298057
